data.subscription_type,data.username,data.name,data.description,data.profile_banner_url,data.most_recent_tweet_id,data.receives_your_dm,data.verified,data.pinned_tweet_id,data.verified_type,data.profile_image_url,data.url,data.protected,data.id,data.created_at,data.entities.url.urls,data.entities.description.urls,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,data.public_metrics.like_count,data.location,data.entities.description.mentions,data.entities.description.hashtags
None,nemoore_,Natalie Moore,"Digital & Engagement @TexasHighways | Frmly @impactnews, @TexasMonthly | @OleMiss journalism grad | Native Atlien | she/her",https://pbs.twimg.com/profile_banners/57720108/1667843545,1839676109807337835,False,False,1651348968670937089,none,https://pbs.twimg.com/profile_images/1791121370039881728/pF8llG3z_normal.jpg,https://t.co/HekxkNHGab,False,57720108,2009-07-17T18:40:51.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/HekxkNHGab', 'expanded_url': 'http://www.texashighways.com', 'display_url': 'texashighways.com'}]",,937,1407,9811,0,4108,"Austin, TX","[{'start': 21, 'end': 35, 'username': 'TexasHighways'}, {'start': 44, 'end': 55, 'username': 'impactnews'}, {'start': 57, 'end': 70, 'username': 'TexasMonthly'}, {'start': 73, 'end': 81, 'username': 'OleMiss'}]",
None,emmillerwrites,Emily McFarlan Miller,"Writing about the spiritual and supernatural. Bylines in @RNS, @washingtonpost, @AP, @CTmagazine, @ChristianCent, etc. Formerly at RNS, @suntimes, @couriernews.",https://pbs.twimg.com/profile_banners/22599438/1515180253,1826655116004655355,False,False,1683514217209446400,none,https://pbs.twimg.com/profile_images/1197034543062142976/l20O2Oqu_normal.jpg,https://t.co/DzJX80gpJt,False,22599438,2009-03-03T07:46:52.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/DzJX80gpJt', 'expanded_url': 'https://emmillerwrites.com/', 'display_url': 'emmillerwrites.com'}]",,11260,7014,81953,587,80685,Chicago,"[{'start': 57, 'end': 61, 'username': 'RNS'}, {'start': 63, 'end': 78, 'username': 'washingtonpost'}, {'start': 80, 'end': 83, 'username': 'AP'}, {'start': 85, 'end': 96, 'username': 'CTmagazine'}, {'start': 98, 'end': 112, 'username': 'ChristianCent'}, {'start': 136, 'end': 145, 'username': 'suntimes'}, {'start': 147, 'end': 159, 'username': 'couriernews'}]",
None,mcleodd,Duncan McLeod,"Founder/editor @TechCentral, prog rock fan, dog lover, occasional trail runner, aspirant hiker, classical liberal. Message me privately on Signal: duncan.73",https://pbs.twimg.com/profile_banners/11342812/1681219180,1844834538771382441,False,False,,none,https://pbs.twimg.com/profile_images/1798433369153294337/awDxGmYE_normal.jpg,https://t.co/EILE106SXb,False,11342812,2007-12-19T17:46:21.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/EILE106SXb', 'expanded_url': 'https://techcentral.co.za/', 'display_url': 'techcentral.co.za'}]",,30446,512,27529,360,10570,"Johannesburg, South Africa","[{'start': 15, 'end': 27, 'username': 'TechCentral'}]",
None,jpeebles,Jennifer Peebles,"Journalist & data wrangler at The Atlanta Journal-Constitution. Slowest banjo picker in ATL. Pathological cornbread-maker. Has played croquet in Blundale, Ga.",https://pbs.twimg.com/profile_banners/12623552/1486487953,1844211830861988016,False,False,864427714123628544,none,https://pbs.twimg.com/profile_images/800712810120564736/8jE60nSe_normal.jpg,https://t.co/jlWvYPPqIp,False,12623552,2008-01-24T02:09:08.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/jlWvYPPqIp', 'expanded_url': 'http://www.ajc.com/staff/jennifer-peebles/', 'display_url': 'ajc.com/staff/jennifer…'}]",,3286,4384,49362,167,51871,"Atlanta, GA",,
None,susiebright,Susie Bright,https://t.co/3NRnrfE1ko,https://pbs.twimg.com/profile_banners/4035141/1354025890,1844809883931267263,False,False,,none,https://pbs.twimg.com/profile_images/2135572581/Susie_by_Jason_Ganwich_8197_web_normal.png,https://t.co/nk5nAme7b7,False,4035141,2007-04-10T14:15:42.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/nk5nAme7b7', 'expanded_url': 'https://susiebright.ink', 'display_url': 'susiebright.ink'}]","[{'start': 0, 'end': 23, 'url': 'https://t.co/3NRnrfE1ko', 'expanded_url': 'https://linktr.ee/susiebright', 'display_url': 'linktr.ee/susiebright'}]",17870,8499,75897,506,75833,California,,
None,asausagehastwo,Christie Dietz,"Award-winning Germany-based food and sustainable travel writer (Nat Geo Traveller, Food & Travel, Pit, Atlas Obscura...) • Intl Coordinator @GuildFoodwriter",https://pbs.twimg.com/profile_banners/132587518/1534503997,1832071031550345356,False,False,,none,https://pbs.twimg.com/profile_images/1453657662286090243/eleVV4vB_normal.jpg,https://t.co/xY2DiVgIlm,False,132587518,2010-04-13T17:01:06.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/xY2DiVgIlm', 'expanded_url': 'http://christiedietz.de', 'display_url': 'christiedietz.de'}]",,3802,1078,31427,55,42666,"Rheinhessen, Germany","[{'start': 140, 'end': 156, 'username': 'GuildFoodwriter'}]",
None,neildemause,Neil deMause,"Writer about things. Also, stuff. Author of @fieldofschemes and @brooklynwars. ""Surprisingly levelheaded"" —Publishers Weekly https://t.co/YCZy9fkfsD",https://pbs.twimg.com/profile_banners/40807200/1670249325,1821908980874064320,False,False,,none,https://pbs.twimg.com/profile_images/1693641723652550656/LTAbf23l_normal.jpg,https://t.co/0izwYxIAey,False,40807200,2009-05-18T03:47:06.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/0izwYxIAey', 'expanded_url': 'http://www.demause.net', 'display_url': 'demause.net'}]","[{'start': 125, 'end': 148, 'url': 'https://t.co/YCZy9fkfsD', 'expanded_url': 'http://neildemause.bsky.social', 'display_url': 'neildemause.bsky.social'}]",2757,323,3091,110,1647,"Brooklyn, NY","[{'start': 44, 'end': 59, 'username': 'fieldofschemes'}, {'start': 64, 'end': 77, 'username': 'brooklynwars'}]",
None,JeremySimes,Jeremy Simes,Saskatchewan Correspondent with The Canadian Press in Regina. Supporter of all things local. Email is jeremy.simes@thecanadianpress.com,https://pbs.twimg.com/profile_banners/28232334/1594564157,1844804313841012783,False,False,,none,https://pbs.twimg.com/profile_images/1708617641592532992/sdZZn4WD_normal.jpg,,False,28232334,2009-04-02T00:01:19.000Z,,,3989,1202,10235,54,6829,"Regina, SK, Treaty 4 Territory",,
None,somospostpc,Alex Barredo 📉,"it was fun! it really was 🙏

✉️ alex@barredo.es
🦣 https://t.co/UexYKKARVc 
🟦 https://t.co/Pz2Cr63CdQ
💼 https://t.co/wjOiLku5Rq",https://pbs.twimg.com/profile_banners/1259674092/1674323063,1661259836460507138,False,False,1661259836460507138,none,https://pbs.twimg.com/profile_images/1616960594879422465/BFWfkYUX_normal.png,https://t.co/kXiqFJw67J,True,1259674092,2013-03-11T15:11:06.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/kXiqFJw67J', 'expanded_url': 'https://newsletter.mixx.io/?a=353e67fea5', 'display_url': 'newsletter.mixx.io/?a=353e67fea5'}]","[{'start': 50, 'end': 73, 'url': 'https://t.co/UexYKKARVc', 'expanded_url': 'http://mastodon.social/@barredo', 'display_url': 'mastodon.social/@barredo'}, {'start': 77, 'end': 100, 'url': 'https://t.co/Pz2Cr63CdQ', 'expanded_url': 'http://bsky.app/profile/barredo.es', 'display_url': 'bsky.app/profile/barred…'}, {'start': 103, 'end': 126, 'url': 'https://t.co/wjOiLku5Rq', 'expanded_url': 'http://linkedin.com/in/alex-barredo', 'display_url': 'linkedin.com/in/alex-barredo'}]",10648,1020,23644,375,36575,,,
None,meglemke,Meg Lemke,"EIC @MuthaMagazine, #comics reviews/features editor @PublishersWkly, previously @bkbf @PENAmerican @FrenchComix. #books/#babies. also: https://t.co/nOCbAF3n5e",https://pbs.twimg.com/profile_banners/43442024/1429811206,1844762153858859176,False,False,541630239341027328,none,https://pbs.twimg.com/profile_images/1593425015613132808/SBmOi0ik_normal.jpg,https://t.co/9Lf5rdsf0f,False,43442024,2009-05-30T00:16:46.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/9Lf5rdsf0f', 'expanded_url': 'http://www.muthamagazine.com', 'display_url': 'muthamagazine.com'}]","[{'start': 135, 'end': 158, 'url': 'https://t.co/nOCbAF3n5e', 'expanded_url': 'http://journa.host/@meglemke', 'display_url': 'journa.host/@meglemke'}]",2189,3414,28031,90,50898,"Brooklyn, NY","[{'start': 4, 'end': 18, 'username': 'MuthaMagazine'}, {'start': 52, 'end': 67, 'username': 'PublishersWkly'}, {'start': 80, 'end': 85, 'username': 'bkbf'}, {'start': 86, 'end': 98, 'username': 'PENAmerican'}, {'start': 99, 'end': 111, 'username': 'FrenchComix'}]","[{'start': 20, 'end': 27, 'tag': 'comics'}, {'start': 113, 'end': 119, 'tag': 'books'}, {'start': 120, 'end': 127, 'tag': 'babies'}]"
None,acetum,Sam Harper,"Has left the building...
@acetum@infosec.exchange // @sharper.bsky.social
https://t.co/FkXaygCJsx // https://t.co/1Bx4doZyQi",https://pbs.twimg.com/profile_banners/2336669878/1611157309,1707035069318078639,False,False,,none,https://pbs.twimg.com/profile_images/1416060993055215617/r0ZjDfsP_normal.jpg,https://t.co/32gZWeKT1c,True,2336669878,2014-02-10T23:36:19.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/32gZWeKT1c', 'expanded_url': 'https://pivot.quebec/auteur/sam-harper/', 'display_url': 'pivot.quebec/auteur/sam-har…'}]","[{'start': 74, 'end': 97, 'url': 'https://t.co/FkXaygCJsx', 'expanded_url': 'https://pivot.quebec', 'display_url': 'pivot.quebec'}, {'start': 101, 'end': 124, 'url': 'https://t.co/1Bx4doZyQi', 'expanded_url': 'https://cybercitoyen.org', 'display_url': 'cybercitoyen.org'}]",1223,1069,1646,16,11846,,"[{'start': 53, 'end': 61, 'username': 'sharper'}]",
None,aysrick,Rick Ellis,"Journalist, TV & media critic. Proud father. allyourscreens on Threads & Bluesky. TCA member. rick@allyourscreens.com Newsletter: https://t.co/114pWOgbbu",https://pbs.twimg.com/profile_banners/4886591/1465240641,1844860858586784129,False,False,,none,https://pbs.twimg.com/profile_images/1661397286860062720/IrkwweMd_normal.jpg,https://t.co/M9HGYKmOI7,False,4886591,2007-04-16T15:06:35.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/M9HGYKmOI7', 'expanded_url': 'http://www.allyourscreens.com', 'display_url': 'allyourscreens.com'}]","[{'start': 130, 'end': 153, 'url': 'https://t.co/114pWOgbbu', 'expanded_url': 'http://toomuchtv.substack.com', 'display_url': 'toomuchtv.substack.com'}]",10693,1392,57361,194,32154,Twin Cities,,
None,pirhoo,Pierre Romera Zhang,"📰 Chief of technology at @ICIJorg
🐘 @pirhoo@mastodon.social
🏳️‍🌈 Member of @AJLgbt
⌛️ Previously @jplusplus_ @OWNI",https://pbs.twimg.com/profile_banners/41570792/1614852509,1844847058639069278,False,False,,none,https://pbs.twimg.com/profile_images/1678126963758604289/946DgQkM_normal.jpg,https://t.co/MxEoxjXe3C,False,41570792,2009-05-21T11:43:28.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/MxEoxjXe3C', 'expanded_url': 'https://www.pirhoo.com', 'display_url': 'pirhoo.com'}]",,8437,849,15270,418,5818,"Paris, France","[{'start': 25, 'end': 33, 'username': 'ICIJorg'}, {'start': 75, 'end': 82, 'username': 'AJLgbt'}, {'start': 97, 'end': 108, 'username': 'jplusplus_'}, {'start': 109, 'end': 114, 'username': 'OWNI'}]",
None,AndyKroll,Andy Kroll,"@ProPublica reporter. 

Send me tips and ideas: https://t.co/RVUvn1D8Pw

Read/listen to my book, A DEATH ON W STREET: https://t.co/CDQuADvL1d",https://pbs.twimg.com/profile_banners/45931428/1704313311,1843981402368590322,False,False,1567186572117770246,none,https://pbs.twimg.com/profile_images/1767947824191152129/1ezR_VH6_normal.jpg,https://t.co/N5PvDOM2hN,False,45931428,2009-06-09T20:13:07.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/N5PvDOM2hN', 'expanded_url': 'http://andykroll.com', 'display_url': 'andykroll.com'}]","[{'start': 48, 'end': 71, 'url': 'https://t.co/RVUvn1D8Pw', 'expanded_url': 'https://www.propublica.org/tips/', 'display_url': 'propublica.org/tips/'}, {'start': 118, 'end': 141, 'url': 'https://t.co/CDQuADvL1d', 'expanded_url': 'http://bit.ly/DeathOnW', 'display_url': 'bit.ly/DeathOnW'}]",34260,1632,10700,1003,1543,,"[{'start': 0, 'end': 11, 'username': 'ProPublica'}]",
None,giacomonyt,Carol Giacomo,"Editor, Arms Control Today; journo ex NYT Ed Bd & Reuters; teaching ex FordSchool; Princeton; IUMediaSchool; HarvardIOP. Threads @carol.giacomo",https://pbs.twimg.com/profile_banners/44366594/1507822198,1844824404838002948,False,False,1379474854009798657,none,https://pbs.twimg.com/profile_images/1652882420130103296/NctGKDoG_normal.jpg,https://t.co/JFjTDrfrvZ,False,44366594,2009-06-03T14:15:48.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/JFjTDrfrvZ', 'expanded_url': 'https://www.armscontrol.org/aca/1932', 'display_url': 'armscontrol.org/aca/1932'}]",,10222,2508,98381,295,32722,NYC&DC,"[{'start': 129, 'end': 135, 'username': 'carol'}]",
None,scilla_alecci,Scilla Alecci,"Reporter, #Asia #EU desk @ICIJorg:: fmr @Bloombergnews Japan:: From Rome, via Tokyo:: PGP: https://t.co/2fixUgPetz salecci@icij.org",https://pbs.twimg.com/profile_banners/18550687/1616006488,1829193951343194428,False,False,,none,https://pbs.twimg.com/profile_images/839339608865386496/ftLZaG_K_normal.jpg,https://t.co/7shwwvfBAM,False,18550687,2009-01-02T11:55:27.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/7shwwvfBAM', 'expanded_url': 'https://www.icij.org/journalists/scilla-alecci/', 'display_url': 'icij.org/journalists/sc…'}]","[{'start': 91, 'end': 114, 'url': 'https://t.co/2fixUgPetz', 'expanded_url': 'http://bit.ly/2gR5lvW', 'display_url': 'bit.ly/2gR5lvW'}]",3227,1598,3257,135,1824,,"[{'start': 25, 'end': 33, 'username': 'ICIJorg'}, {'start': 40, 'end': 54, 'username': 'Bloombergnews'}]","[{'start': 10, 'end': 15, 'tag': 'Asia'}, {'start': 16, 'end': 19, 'tag': 'EU'}]"
None,jackmjenkins,Jack Jenkins,"National Reporter for @RNS. ""Workaday writer."" — The New Yorker. Author of ""American Prophets."" Tips? Try me on Signal: jackmjenkins.60",https://pbs.twimg.com/profile_banners/14188527/1644185783,1843482016513437960,False,False,1389344457255014400,none,https://pbs.twimg.com/profile_images/1457864182402015232/CDtZxwOw_normal.jpg,https://t.co/vMvfgH1lGw,False,14188527,2008-03-21T00:48:21.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/vMvfgH1lGw', 'expanded_url': 'http://www.jackjenkins.me', 'display_url': 'jackjenkins.me'}]",,37383,1540,49839,754,42511,"Washington, DC","[{'start': 22, 'end': 26, 'username': 'RNS'}]",
None,krforde,Kathy Roberts Forde,"UMass Amherst Journalism Professor | journalism/media historian | books, news, social justice | Southerner in New England",https://pbs.twimg.com/profile_banners/3398859082/1633974311,1844159015326187848,False,False,,none,https://pbs.twimg.com/profile_images/1455263499677020163/nAYU5DLg_normal.jpg,,False,3398859082,2015-08-01T14:55:20.000Z,,,1128,868,2119,31,19466,"Amherst, MA",,
None,andybechtel,Andy Bechtel,"Editor. Journalism professor at @UNC. NOLA native, Durham denizen. Spending more time on other platforms these days.",https://pbs.twimg.com/profile_banners/20167716/1674088596,1844472238223040747,False,False,1754884367061508392,none,https://pbs.twimg.com/profile_images/1782956135063891968/9mtwVZGN_normal.jpg,https://t.co/s91L046c6z,False,20167716,2009-02-05T17:38:36.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/s91L046c6z', 'expanded_url': 'http://editdesk.wordpress.com', 'display_url': 'editdesk.wordpress.com'}]",,5350,1069,42156,432,24089,"North Carolina, USA","[{'start': 32, 'end': 36, 'username': 'UNC'}]",
None,BradyDale,Brady Dale,"Archive account
📬 brady.dale@axios.com",,1835865019214434495,False,False,1721196060993880195,none,https://pbs.twimg.com/profile_images/839869906380337157/nif7Kp-e_normal.jpg,https://t.co/3qRYks9EOU,False,14513488,2008-04-24T15:56:06.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/3qRYks9EOU', 'expanded_url': 'https://www.axios.com/signup/cryptocurrency', 'display_url': 'axios.com/signup/cryptoc…'}]",,14911,984,89240,572,11132,bradydale.com,,
None,jasonszep,Jason Szep,International Political Investigations Editor @ Reuters. Pulitzer winner. Boston native ... on threads @jasonszep,https://pbs.twimg.com/profile_banners/176097589/1625919416,1807786219012509998,False,False,,none,https://pbs.twimg.com/profile_images/616062329290145792/ndElpnIC_normal.jpg,https://t.co/MMmRgdjPLN,False,176097589,2010-08-08T15:12:54.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/MMmRgdjPLN', 'expanded_url': 'http://jasonszep.com', 'display_url': 'jasonszep.com'}]",,4502,1079,3003,238,661,Washington DC,"[{'start': 103, 'end': 113, 'username': 'jasonszep'}]",
None,janinefunke,Janine Funke,"Freie Historikerin, Redakteurin (Terra X Geschichte - der Podcast) und Podcast-Host @zzfpotsdam @webertweets #metoohistory 

@janinefunke@mastodon.social",https://pbs.twimg.com/profile_banners/20757776/1645191951,1839569466406969459,False,False,,none,https://pbs.twimg.com/profile_images/1494668533191651328/0Koqkvc5_normal.jpg,https://t.co/xyHwsyixMg,False,20757776,2009-02-13T08:58:29.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/xyHwsyixMg', 'expanded_url': 'http://www.janinefunke.de', 'display_url': 'janinefunke.de'}]",,2503,1634,6580,53,10160,Remote,"[{'start': 84, 'end': 95, 'username': 'zzfpotsdam'}, {'start': 96, 'end': 108, 'username': 'webertweets'}]","[{'start': 109, 'end': 122, 'tag': 'metoohistory'}]"
None,meghara,Megha Rajagopalan,International investigations at The New York Times based in London. DMs open. megha.rajagopalan@nytimes.com,https://pbs.twimg.com/profile_banners/13670232/1569506034,1834594297330504075,False,False,,none,https://pbs.twimg.com/profile_images/1475183155858579462/dpZ39t_v_normal.jpg,,False,13670232,2008-02-19T13:04:40.000Z,,,47720,5499,11773,787,17724,"London, England",,
None,abstorylab,Anne Brataas,"Disruptive publisher. Mentor, science writer, mother, disciple to children's inborn compassionate nature. Opinions correct. @kidswritehistory",,1785988494763929709,False,False,,none,https://pbs.twimg.com/profile_images/1518144456/profile_normal.jpg,https://t.co/rWCxNZkKhA,False,100247169,2009-12-29T15:16:40.000Z,"[{'start': 0, 'end': 23, 'url': 'https://t.co/rWCxNZkKhA', 'expanded_url': 'https://www.thestorylaboratory.com/', 'display_url': 'thestorylaboratory.com'}]",,108,360,143,2,587,MINNESOTA!,"[{'start': 124, 'end': 141, 'username': 'kidswritehistory'}]",
None,johnbattelle,John Battelle,Taking a break from this place. Posts: https://t.co/TcaEh4ltB9 and folo me here https://t.co/80FchTFJoC & https://t.co/9Rvw9MBPxG,https://pbs.twimg.com/profile_banners/14600116/1648047340,1676973128893997058,False,True,1676945920754081792,blue,https://pbs.twimg.com/profile_images/1506772499228286976/NU8PJ4WY_normal.jpg,,False,14600116,2008-04-30T13:38:52.000Z,,"[{'start': 39, 'end': 62, 'url': 'https://t.co/TcaEh4ltB9', 'expanded_url': 'https://battellemedia.com/sign-up', 'display_url': 'battellemedia.com/sign-up'}, {'start': 80, 'end': 103, 'url': 'https://t.co/80FchTFJoC', 'expanded_url': 'http://mstdn.media/@Jbat', 'display_url': 'mstdn.media/@Jbat'}, {'start': 106, 'end': 129, 'url': 'https://t.co/9Rvw9MBPxG', 'expanded_url': 'https://www.threads.net/@johnbattelle', 'display_url': 'threads.net/@johnbattelle'}]",238913,3396,20900,5541,23915,,,
